type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
.NET,.net初级开发工程师[宝安区],深圳市云诚软件技术有限公司,4000,8000,经验在校,应届,物流丨运输、企业服务 / 未融资 / 少于15人,15,软件服务｜咨询/IT技术服务｜咨询,产出高就奖钱,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/60/04/Ciqc1F-MdpuAAM9_AAFbTVHRAy8545.png,深圳
.NET,c# .net开发工程师[宝安区],深圳市云诚软件技术有限公司,4000,8000,经验不限,大专,物流丨运输、企业服务 / 未融资 / 少于15人,15,软件服务｜咨询,产出高就加钱,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/60/04/Ciqc1F-MdpuAAM9_AAFbTVHRAy8545.png,深圳
.NET,.net开发工程师[西丽],千域时代,22000,30000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 50-150人,50-150,新能源汽车制造/互联网,工作环境氛围好,https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/4C/B5/CioPOWDr0EWAVZ3xAAAGYKx7iqI850.png,深圳
.NET,.net高级开发工程师[南油],华毓科技,16000,25000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 150-500人,150-500,在线教育/IT技术服务｜咨询,年轻团队 氛围好,https://www.lgstatic.com/thumbnail_120x120/10/3839c520c0404439abd7e4242f90e8e4.jpg,深圳
.NET,.net开发工程师[南油],华毓科技,18000,25000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 150-500人,150-500,C++/IT技术服务｜咨询/物联网,氛围好， 团队大牛,https://www.lgstatic.com/thumbnail_120x120/10/3839c520c0404439abd7e4242f90e8e4.jpg,深圳
.NET,.net开发工程师[桂庙路口],华毓科技,15000,20000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 150-500人,150-500,IT技术服务｜咨询,周末双休 五险一金 团队氛围好 通勤便利,https://www.lgstatic.com/thumbnail_120x120/10/3839c520c0404439abd7e4242f90e8e4.jpg,深圳
.NET,.net开发工程师[坂田],软通动力,12000,22000,经验3-5年,本科,IT技术服务｜咨询 / 不需要融资 / 2000人以上,2000,c/s+/IT技术服务｜咨询/wpf,双倍加班费,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/4B/A3/Ciqc1F9V_02ALJQdAABvHbwMuUQ659.jpg,深圳
.NET,.net开发工程师[科技园],佳思德科技,10000,15000,经验1-3年,本科,制造业 / 不需要融资 / 150-500人,150-500,制造业,包吃住+14薪+周末双休+五险一金,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/76/2E/CioPOWIhYWyAfjLuAAAUqz2qNYE498.jpg,深圳
.NET,.net开发工程师[大冲],深圳智盛,10000,15000,经验1-3年,本科,IT技术服务｜咨询 / 未融资 / 50-150人,50-150,教育｜培训/科技金融,上班时间8：30-17：30，双休，工作氛围轻松。,https://www.lgstatic.com/thumbnail_120x120/i/image2/M00/4D/25/CgoB5lr754OAeAeaAAAD7_EwjRI932.png,深圳
.NET,.net开发工程师[上梅林],万科物业,18000,22000,经验3-5年,本科,房地产｜建筑｜物业 / 不需要融资 / 2000人以上,2000,房地产｜建筑｜物业/IT技术服务｜咨询,周末双休 无加班文化 公司食堂 免费停车场,https://www.lgstatic.com/thumbnail_120x120/image2/M00/08/03/CgqLKVYBEtqAD2vhAAARnNY0kzg058.png,深圳
.NET,.net高级开发工程师[上梅林],万科物业,18000,22000,经验3-5年,本科,房地产｜建筑｜物业 / 不需要融资 / 2000人以上,2000,房地产｜建筑｜物业/IT技术服务｜咨询,周末双休 无加班文化 公司食堂 免费停车场,https://www.lgstatic.com/thumbnail_120x120/image2/M00/08/03/CgqLKVYBEtqAD2vhAAARnNY0kzg058.png,深圳
.NET,c# .net开发工程师[龙岗区],卡荟,10000,20000,经验5-10年,大专,"移动互联网,消费生活 / A轮 / 50-150人",50-150,生活服务/智能硬件,兩周帶薪過年假期,https://www.lgstatic.com/thumbnail_120x120/image2/M00/06/27/CgpzWlX5HwOAP75BAAhZrownejQ647.jpg?cc=0.59314957074821,深圳
